Date,Gold,Silver,Oil,SP500,VIX,TNX,DXY,USDINR
2010-01-01,,,,,,,,46.61000061035156
2010-01-04,1117.699951171875,17.440000534057617,81.51000213623047,1132.989990234375,20.040000915527344,3.8410000801086426,77.52999877929688,46.28799819946289
2010-01-05,1118.0999755859375,17.7810001373291,81.7699966430664,1136.52001953125,19.350000381469727,3.755000114440918,77.62000274658203,46.119998931884766
2010-01-06,1135.9000244140625,18.163000106811523,83.18000030517578,1137.1400146484375,19.15999984741211,3.808000087738037,77.48999786376953,45.720001220703125
2010-01-07,1133.0999755859375,18.33300018310547,82.66000366210938,1141.68994140625,19.059999465942383,3.822000026702881,77.91000366210938,45.6879997253418
2010-01-08,1138.199951171875,18.45800018310547,82.75,1144.97998046875,18.1299991607666,3.808000087738037,77.47000122070312,45.518001556396484
2010-01-11,1150.699951171875,18.683000564575195,82.5199966430664,1146.97998046875,17.549999237060547,3.818000078201294,77.0,45.358001708984375
2010-01-12,1128.9000244140625,18.243000030517578,80.79000091552734,1136.219970703125,18.25,3.7190001010894775,76.94999694824219,45.61800003051758
2010-01-13,1136.4000244140625,18.538000106811523,79.6500015258789,1145.6800537109375,17.850000381469727,3.7829999923706055,76.8499984741211,45.487998962402344
2010-01-14,1142.5999755859375,18.64299964904785,79.38999938964844,1148.4599609375,17.6299991607666,3.7339999675750732,76.7300033569336,45.5629997253418
2010-01-15,1130.0999755859375,18.410999298095703,78.0,1136.030029296875,17.90999984741211,3.6760001182556152,77.31999969482422,45.803001403808594
2010-01-18,,,,,,,,45.63800048828125
2010-01-19,1139.699951171875,18.784000396728516,79.0199966430664,1150.22998046875,17.579999923706055,3.7070000171661377,77.5,45.847999572753906
2010-01-20,1112.300048828125,17.865999221801758,77.62000274658203,1138.0400390625,18.68000030517578,3.6589999198913574,78.33999633789062,46.11800003051758
2010-01-21,1102.699951171875,17.496000289916992,76.08000183105469,1116.47998046875,22.270000457763672,3.6110000610351562,78.31999969482422,46.108001708984375
2010-01-22,1089.199951171875,16.917999267578125,74.54000091552734,1091.760009765625,27.309999465942383,3.5980000495910645,78.27999877929688,46.222999572753906
2010-01-25,1095.199951171875,17.131000518798828,75.26000213623047,1096.780029296875,25.40999984741211,3.630000114440918,78.19000244140625,46.077999114990234
2010-01-26,1097.9000244140625,16.84600067138672,74.70999908447266,1092.1700439453125,24.549999237060547,3.630000114440918,78.43000030517578,45.847999572753906
2010-01-27,1084.4000244140625,16.42799949645996,73.66999816894531,1097.5,23.139999389648438,3.6440000534057617,78.68000030517578,46.31800079345703
2010-01-28,1083.5999755859375,16.20199966430664,73.63999938964844,1084.530029296875,23.729999542236328,3.6579999923706055,78.9000015258789,46.347999572753906
2010-01-29,1083.0,16.183000564575195,72.88999938964844,1073.8699951171875,24.6200008392334,3.6089999675750732,79.45999908447266,46.097999572753906
2010-02-01,1104.300048828125,16.652999877929688,74.43000030517578,1089.18994140625,22.59000015258789,3.6540000438690186,79.23999786376953,46.28799819946289
2010-02-02,1117.4000244140625,16.736000061035156,77.2300033569336,1103.3199462890625,21.479999542236328,3.634999990463257,79.01000213623047,46.099998474121094
2010-02-03,1111.4000244140625,16.309999465942383,76.9800033569336,1097.280029296875,21.600000381469727,3.703000068664551,79.37000274658203,45.900001525878906
2010-02-04,1062.4000244140625,15.343000411987305,73.13999938964844,1063.1099853515625,26.079999923706055,3.609999895095825,79.91999816894531,46.209999084472656
2010-02-05,1052.199951171875,14.822999954223633,71.19000244140625,1066.18994140625,26.110000610351562,3.5460000038146973,80.44000244140625,46.619998931884766
2010-02-08,1065.699951171875,15.07800006866455,71.88999938964844,1056.739990234375,26.510000228881836,3.5920000076293945,80.30000305175781,46.709999084472656
2010-02-09,1076.699951171875,15.430999755859375,73.75,1070.52001953125,26.0,3.632999897003174,79.86000061035156,46.38999938964844
2010-02-10,1075.800048828125,15.302000045776367,74.5199966430664,1068.1300048828125,25.399999618530273,3.694000005722046,80.02999877929688,46.37799835205078
2010-02-11,1094.199951171875,15.592000007629395,75.27999877929688,1078.469970703125,23.959999084472656,3.7330000400543213,79.98999786376953,46.400001525878906
2010-02-12,1089.5,15.449000358581543,74.12999725341797,1075.510009765625,22.729999542236328,3.693000078201294,80.31999969482422,46.400001525878906
2010-02-15,,,,,,,,46.3380012512207
2010-02-16,1119.300048828125,16.149999618530273,77.01000213623047,1094.8699951171875,22.25,3.6640000343322754,79.69999694824219,45.97999954223633
